Unnamed: 0,im,Old,Female,DarkSkin,ita
4981,092398.jpg,TRUE,FALSE,FALSE,31.61515099
4982,036605.jpg,TRUE,FALSE,FALSE,33.72869642
4983,188164.jpg,TRUE,FALSE,FALSE,40.35860671
4984,149460.jpg,TRUE,FALSE,FALSE,44.17008702
4985,173768.jpg,TRUE,FALSE,FALSE,28.8102227
4986,186399.jpg,TRUE,FALSE,FALSE,35.79358254
4987,089517.jpg,TRUE,FALSE,FALSE,32.49063493
4988,092457.jpg,TRUE,FALSE,FALSE,35.07971218
4989,058183.jpg,TRUE,FALSE,FALSE,39.93223444
4990,151256.jpg,TRUE,FALSE,FALSE,32.99123359
4991,084984.jpg,TRUE,FALSE,FALSE,32.83390885
4992,042075.jpg,TRUE,FALSE,FALSE,34.20874885
4993,040682.jpg,TRUE,FALSE,FALSE,34.78364544
4994,084434.jpg,TRUE,FALSE,FALSE,43.04263829
4995,045400.jpg,TRUE,FALSE,FALSE,38.63424155
4996,118931.jpg,TRUE,FALSE,FALSE,35.46952635
4997,199786.jpg,TRUE,FALSE,FALSE,30.66450233
4998,122546.jpg,TRUE,FALSE,FALSE,35.99780896
4999,191791.jpg,TRUE,FALSE,FALSE,42.25836871
5000,135310.jpg,TRUE,FALSE,TRUE,27.15603357
5001,180058.jpg,TRUE,FALSE,TRUE,25.55208499
5002,202225.jpg,TRUE,FALSE,TRUE,26.82225219
5003,091279.jpg,TRUE,FALSE,TRUE,27.27483501
5004,177906.jpg,TRUE,FALSE,TRUE,24.11164333
5093,125250.jpg,TRUE,FALSE,TRUE,27.19441084
5094,097146.jpg,TRUE,FALSE,TRUE,22.68387695
5095,033687.jpg,TRUE,FALSE,TRUE,19.09918972
5096,023281.jpg,TRUE,FALSE,TRUE,20.22506402
5097,049653.jpg,TRUE,FALSE,TRUE,26.54638055
5098,053530.jpg,TRUE,FALSE,TRUE,18.36854119
3898,011934.jpg,FALSE,TRUE,TRUE,17.26051109
3899,181663.jpg,FALSE,TRUE,TRUE,24.00371181
3900,093381.jpg,FALSE,TRUE,TRUE,27.7655507
3901,073043.jpg,FALSE,TRUE,TRUE,24.35383367
3902,132182.jpg,FALSE,TRUE,TRUE,27.81298066
3903,198391.jpg,FALSE,TRUE,TRUE,23.61239781
3904,198225.jpg,FALSE,TRUE,TRUE,24.87025377
3990,129899.jpg,FALSE,TRUE,TRUE,25.70467024
3991,013225.jpg,FALSE,TRUE,TRUE,25.78133957
3992,143344.jpg,FALSE,TRUE,TRUE,24.58718828
3993,149623.jpg,FALSE,TRUE,TRUE,27.0349385
3994,026324.jpg,FALSE,TRUE,TRUE,25.72953467
3995,119677.jpg,FALSE,TRUE,TRUE,27.63205969
3996,123443.jpg,FALSE,TRUE,TRUE,21.94891203
3997,096468.jpg,FALSE,TRUE,TRUE,17.42462061
3998,074071.jpg,FALSE,TRUE,TRUE,27.04154547
3999,135800.jpg,FALSE,TRUE,TRUE,23.02892091
2608,018161.jpg,FALSE,TRUE,FALSE,35.10645724
2609,082106.jpg,FALSE,TRUE,FALSE,34.44547324
2610,104612.jpg,FALSE,TRUE,FALSE,29.86264903
2611,134215.jpg,FALSE,TRUE,FALSE,36.45844763
2612,052650.jpg,FALSE,TRUE,FALSE,28.80739778
2613,179194.jpg,FALSE,TRUE,FALSE,30.01194243
2614,138763.jpg,FALSE,TRUE,FALSE,28.99081664
2615,157078.jpg,FALSE,TRUE,FALSE,28.9029102
2616,058214.jpg,FALSE,TRUE,FALSE,32.80336916
2617,085735.jpg,FALSE,TRUE,FALSE,37.27056638
2618,123596.jpg,FALSE,TRUE,FALSE,42.49919763
2619,025337.jpg,FALSE,TRUE,FALSE,40.64852863
